upper_age,coverage_pct,cancers_baseline,cancers_scenario,cancers_averted,pct_averted,pct_averted_low,pct_averted_high
30,10,365677.5411748886,347660.7037177086,18016.837457180023,4.92697402178257,1.8760866771353015,8.07092406736336
30,20,365677.5411748886,329081.0761451721,36596.46502971649,10.007851428921608,7.21310309843864,12.88784932737716
30,30,365677.5411748886,308775.307264328,56902.23391056061,15.560768027409864,12.69197591724629,18.51706829897999
30,40,365677.5411748886,295608.28471136093,70069.25646352768,19.161487533087634,16.278480478661827,22.132436354280408
30,50,365677.5411748886,278429.9669985771,87247.5741763115,23.859155773141822,21.017339058630768,26.787657805442283
30,60,365677.5411748886,263812.53308439255,101865.00809049606,27.85651198682125,25.199762410892212,30.594301687576177
30,70,365677.5411748886,253077.9728989601,112599.5682759285,30.792038229680813,27.950189086717092,33.72057367961481
30,80,365677.5411748886,241459.56838941574,124217.97278547287,33.96926493937031,31.130865941673154,36.89424500257818
30,90,365677.5411748886,229229.27137231827,136448.26980257034,37.31382281891704,34.618050345506845,40.09182575157968
35,10,365677.5411748886,343879.81187438965,21797.729300498962,5.960915518755908,3.322126436601918,8.680196868056372
35,20,365677.5411748886,317273.8155055046,48403.725669384,13.23672367569177,10.229739534248202,16.33543131730259
35,30,365677.5411748886,299627.1350712776,66050.40610361099,18.062472716097645,15.291794776911258,20.917665992400643
35,40,365677.5411748886,280937.97133016586,84739.56984472275,23.173304428940927,20.107178514884513,26.332957873427116
35,50,365677.5411748886,262717.1695547104,102960.37162017822,28.156055548113766,25.32716860401033,31.071233406929522
35,60,365677.5411748886,243842.9276022911,121834.6135725975,33.31749966955969,30.386984877916426,36.33740537959083
35,70,365677.5411748886,229799.61506795883,135877.92610692978,37.1578537939099,34.105372927005654,40.30344596973232
35,80,365677.5411748886,216987.64209079742,148689.8990840912,40.66147967588168,37.592964429687854,43.82359533546589
35,90,365677.5411748886,202555.28759288788,163122.25358200073,44.60822315144206,41.667723217869934,47.6384185850441
40,10,365677.5411748886,341794.84425115585,23882.696923732758,6.53108113968384,3.595663056437672,9.556039708807102
40,20,365677.5411748886,316306.87395715714,49370.667217731476,13.501148322948142,11.161066525266707,15.912610774156391
40,30,365677.5411748886,291600.7663550377,74076.77481985092,20.257403443987563,17.60484792521574,22.9908711542194
40,40,365677.5411748886,267895.59412384033,97781.94705104828,26.739937797898058,23.97678508661543,29.587376300609503
40,50,365677.5411748886,248719.18220615387,116958.35896873474,31.984014821626232,29.021947876969893,35.03643513534396
40,60,365677.5411748886,231148.04485702515,134529.49631786346,36.78910547408311,33.825934197643925,39.842663805553315
40,70,365677.5411748886,213769.54014778137,151908.00102710724,41.54151784630817,38.74491171223869,44.423430217836845
40,80,365677.5411748886,199238.98011779785,166438.56105709076,45.515117095334546,42.6230662544982,48.495385569954564
40,90,365677.5411748886,184984.14986991882,180693.3913049698,49.41331390613117,46.414722841049894,52.503372453288186
45,10,365677.5411748886,340227.3418765068,25450.199298381805,6.9597381388566095,4.404671908843881,9.592742797125696
45,20,365677.5411748886,309780.0196328163,55897.521542072296,15.28601438373236,12.85276016579841,17.793491338856562
45,30,365677.5411748886,289160.75018262863,76516.79099225998,20.924662407874028,18.032655857452315,23.904885241067333
45,40,365677.5411748886,262528.3140053749,103149.2271695137,28.207700926369345,25.353626730559345,31.148834335884104
45,50,365677.5411748886,239125.3111190796,126552.23005580902,34.60760254764573,31.982818571132917,37.31245158675415
45,60,365677.5411748886,217474.88987255096,148202.65130233765,40.528234472966545,37.67905521200983,43.46432363504879
45,70,365677.5411748886,201180.41699647903,164497.12417840958,44.98420210601267,41.83624152997747,48.22818645498464
45,80,365677.5411748886,184621.54632234573,181055.99485254288,49.51247327654481,46.27469832702024,52.84901165053549
45,90,365677.5411748886,169664.17295265198,196013.36822223663,53.60279102524687,50.53242535574609,56.766813552500395
