location,coverage,scenario,cohort,value,low,high
kenya,70,No interventions,10_15,90771.5989,89634.6892,92939.6585
kenya,70,No interventions,15_20,89914.1948,89290.9702,91870.7333
kenya,70,No interventions,20_25,79738.6587,78394.0055,81022.8746
kenya,70,No interventions,25_30,69090.9762,68278.8974,69774.6347
kenya,70,No interventions,30_35,56834.2407,54873.9182,58439.5137
kenya,70,No interventions,35_40,45359.3666,44226.2321,47281.9180
kenya,70,No interventions,40_45,35006.2954,32966.6534,35342.4586
kenya,70,No interventions,45_50,23240.5834,22927.0828,24173.5308
kenya,70,No interventions,50_55,15270.8719,15104.6788,15996.0779
kenya,70,No interventions,55_60,9669.4113,9495.6640,9971.5805
kenya,70,Routine vax only,10_15,31769.3059,30318.8940,32645.5966
kenya,70,Routine vax only,15_20,55923.9550,55232.7430,56516.9620
kenya,70,Routine vax only,20_25,59753.9495,58462.1762,60312.9623
kenya,70,Routine vax only,25_30,53540.5960,53215.7641,54617.0738
kenya,70,Routine vax only,30_35,46163.8914,44860.7868,47270.5861
kenya,70,Routine vax only,35_40,37404.7627,36437.8214,38874.0604
kenya,70,Routine vax only,40_45,29185.7616,28460.5554,30273.5707
kenya,70,Routine vax only,45_50,20936.5434,19686.3185,21098.9593
kenya,70,Routine vax only,50_55,14296.3763,14194.3942,14912.0460
kenya,70,Routine vax only,55_60,9503.2182,9189.7178,9703.4053
kenya,70,Catch-up to 30,10_15,13499.4033,13178.3486,14073.5246
kenya,70,Catch-up to 30,15_20,21000.7519,20713.6912,21605.0902
kenya,70,Catch-up to 30,20_25,27406.7384,27032.8042,28668.2949
kenya,70,Catch-up to 30,25_30,33034.6401,31825.9633,34235.7626
kenya,70,Catch-up to 30,30_35,41502.9319,41000.5754,42813.5907
kenya,70,Catch-up to 30,35_40,35950.5735,35108.2770,36917.5150
kenya,70,Catch-up to 30,40_45,28471.8868,28033.7415,28581.4232
kenya,70,Catch-up to 30,45_50,20441.7414,19161.2996,20691.0310
kenya,70,Catch-up to 30,50_55,14194.3943,13835.5683,14368.1414
kenya,70,Catch-up to 30,55_60,9567.4292,9227.4889,9710.9595
kenya,70,Catch-up to 40,10_15,13386.0899,12970.6074,14088.6330
kenya,70,Catch-up to 40,15_20,19886.5030,18133.9221,20230.2205
kenya,70,Catch-up to 40,20_25,26398.2489,25650.3803,27293.4251
kenya,70,Catch-up to 40,25_30,30160.2558,28951.5791,31497.3544
kenya,70,Catch-up to 40,30_35,29937.4067,28615.4165,31066.7640
kenya,70,Catch-up to 40,35_40,28407.6756,27051.6915,29484.1533
kenya,70,Catch-up to 40,40_45,27988.4162,26496.4559,28362.3505
kenya,70,Catch-up to 40,45_50,20479.5126,19539.0110,20611.7115
kenya,70,Catch-up to 40,50_55,14273.7136,13945.1046,14655.2022
kenya,70,Catch-up to 40,55_60,9321.9168,9121.7297,9786.5018
kenya,70,Catch-up to 40 + S&T to 65,10_15,12675.9925,12343.6065,13612.7167
kenya,70,Catch-up to 40 + S&T to 65,15_20,18715.5977,18164.1390,19455.9121
kenya,70,Catch-up to 40 + S&T to 65,20_25,23259.4667,22137.6637,24660.7762
kenya,70,Catch-up to 40 + S&T to 65,25_30,23878.9140,22923.3040,24143.3121
kenya,70,Catch-up to 40 + S&T to 65,30_35,22315.1890,21306.6994,22900.6418
kenya,70,Catch-up to 40 + S&T to 65,35_40,19886.5046,19467.2449,20460.6261
kenya,70,Catch-up to 40 + S&T to 65,40_45,19399.2572,18602.2859,19829.8483
kenya,70,Catch-up to 40 + S&T to 65,45_50,12989.4941,12536.2403,13571.1697
kenya,70,Catch-up to 40 + S&T to 65,50_55,8135.9025,7769.5224,8415.4089
kenya,70,Catch-up to 40 + S&T to 65,55_60,4955.5728,4849.8136,5306.8443
kenya,70,S&T 10-65 only,10_15,31259.3954,30409.5447,32498.2892
kenya,70,S&T 10-65 only,15_20,55051.4415,54141.1568,56082.5938
kenya,70,S&T 10-65 only,20_25,56139.2507,55361.1651,57472.5723
kenya,70,S&T 10-65 only,25_30,47890.0323,46768.2291,48449.0453
kenya,70,S&T 10-65 only,30_35,38511.4567,37808.9134,39629.4827
kenya,70,S&T 10-65 only,35_40,30598.4017,28838.2662,31134.7521
kenya,70,S&T 10-65 only,40_45,20940.3198,20441.7408,21574.8752
kenya,70,S&T 10-65 only,45_50,13431.4164,12755.3130,13839.3448
kenya,70,S&T 10-65 only,50_55,8426.7402,8294.5412,8694.9153
kenya,70,S&T 10-65 only,55_60,5117.9886,4710.0604,5242.6334
